gvkey,cik,quarter
139665,0001059556,2020Q2
001487,0000005272,2020Q2
008253,0000075362,2020Q2
004598,0001048911,2020Q2
002574,0000277948,2020Q2
001891,0000008670,2020Q2
005256,0000277135,2020Q2
007085,0000062996,2020Q2
001722,0000007084,2020Q2
002547,0001739940,2020Q2
007923,0000702165,2020Q2
011259,0000104169,2020Q2
009778,0000091440,2020Q2
010016,0000093556,2020Q2
002435,0000014693,2020Q2
001690,0000320193,2020Q2
008068,0000797468,2020Q2
004029,0000715957,2020Q2
003362,0000023217,2020Q2
006733,0000701985,2020Q2
002136,0000732712,2020Q2
009899,0000732717,2020Q2
006829,0000060667,2020Q2
008823,0000822416,2020Q2
001380,0000004447,2020Q2
006774,0000936468,2020Q2
005518,0000046080,2020Q2
001988,0000009389,2020Q2
001209,0000002969,2020Q2
008030,0000073309,2020Q2
004145,0000031791,2020Q2
007985,0001133421,2020Q2
005742,0001130310,2020Q2
011672,0000109198,2020Q2
004058,0000029905,2020Q2
008358,0000076334,2020Q2
005878,0000049826,2020Q2
004990,0000039911,2020Q2
007228,0001613103,2020Q2
002269,0000012659,2020Q2
010247,0000096021,2020Q2
032106,0001701605,2020Q2
007065,0000062709,2020Q2
001913,0000008818,2020Q2
005680,0000354950,2020Q2
008245,0000713676,2020Q2
003243,0000831001,2020Q2
007906,0000320187,2020Q2
004213,0000031462,2020Q2
007875,0000814453,2020Q2
010614,0000320335,2020Q2
012142,0001341439,2020Q2
001878,0000769397,2020Q2
010860,0001002910,2020Q2
001602,0000318154,2020Q2
006136,0000051644,2020Q2
029028,0000909832,2020Q2
020779,0000858877,2020Q2
029392,0000915389,2020Q2
009783,0000091576,2020Q2
012726,0000005513,2020Q2
012141,0000789019,2020Q2
010903,0000731766,2020Q2
009882,0000092380,2020Q2
007343,0000723125,2020Q2
013714,0000813828,2020Q2
025279,0000885725,2020Q2
001704,0000006951,2020Q2
002019,0001390777,2020Q2
006781,0000060086,2020Q2
031846,0000940944,2020Q2
028349,0000899051,2020Q2
014590,0000831259,2020Q2
012124,0000895421,2020Q2
004723,0000036104,2020Q2
008455,0000922224,2020Q2
027914,0000049071,2020Q2
003231,0000028412,2020Q2
061739,0000874766,2020Q2
004640,0000035527,2020Q2
003221,0000315293,2020Q2
009203,0001024478,2020Q2
023809,0000866787,2020Q2
010530,0000097745,2020Q2
012540,0000796343,2020Q2
002751,0000721371,2020Q2
013988,0000316709,2020Q2
004423,0000033185,2020Q2
001678,0001841666,2020Q2
013341,0000080661,2020Q2
005786,0000049196,2020Q2
010035,0000093751,2020Q2
006304,0000319201,2020Q2
065417,0001041061,2020Q2
011856,0000092230,2020Q2
014824,0000020286,2020Q2
004066,0000029989,2020Q2
007982,0000073124,2020Q2
009555,0001012100,2020Q2
004885,0000038777,2020Q2
028930,0001048286,2020Q2
008272,0001032208,2020Q2
030990,0000927628,2020Q2
014477,0000823768,2020Q2
025283,0000885639,2020Q2
004674,0001281761,2020Q2
008402,0000723531,2020Q2
024216,0000874761,2020Q2
003735,0000313616,2020Q2
013498,0000815097,2020Q2
007171,0000927653,2020Q2
002884,0000018926,2020Q2
003439,0000811156,2020Q2
001449,0000004977,2020Q2
061591,0001002047,2020Q2
002184,0000764478,2020Q2
011228,0001396009,2020Q2
024800,0000804328,2020Q2
001075,0000764622,2020Q2
001632,0000006281,2020Q2
012138,0001113169,2020Q2
006649,0000058492,2020Q2
022325,0000743988,2020Q2
061676,0000877890,2020Q2
126554,0001090872,2020Q2
025434,0000829224,2020Q2
013646,0000098246,2020Q2
014934,0001090012,2020Q2
016478,0000821189,2020Q2
007974,0001111711,2020Q2
002312,0000315213,2020Q2
027928,0000896878,2020Q2
133768,0001099219,2020Q2
010115,0000310764,2020Q2
003062,0000723254,2020Q2
012635,0000798354,2020Q2
011687,0000109380,2020Q2
144559,0001136869,2020Q2
031673,0001140859,2020Q2
117768,0001045810,2020Q2
028733,0000906107,2020Q2
061574,0001000697,2020Q2
029389,0001063761,2020Q2
114524,0001065088,2020Q2
016721,0000712515,2020Q2
010920,0001090727,2020Q2
143356,0001137774,2020Q2
145701,0001126328,2020Q2
114628,0000886982,2020Q2
145046,0001156039,2020Q2
003226,0001166691,2020Q2
064166,0001022079,2020Q2
030490,0000922864,2020Q2
007146,0000063754,2020Q2
015855,0000849399,2020Q2
024468,0000875045,2020Q2
004699,0000036270,2020Q2
063501,0001015780,2020Q2
007637,0001792044,2020Q2
015247,0001035002,2020Q2
024856,0000882095,2020Q2
140541,0001116132,2020Q2
014960,0000920148,2020Q2
063892,0001021860,2020Q2
025340,0000882184,2020Q2
002710,0000016918,2020Q2
010793,0000100493,2020Q2
011220,0000899689,2020Q2
010096,0001393311,2020Q2
164708,0000820027,2020Q2
006669,0000920760,2020Q2
064768,0001018724,2020Q2
061567,0001001250,2020Q2
066368,0001014473,2020Q2
064925,0001037540,2020Q2
024731,0000879101,2020Q2
160329,0001652044,2020Q2
121718,0001043604,2020Q2
149070,0001156375,2020Q2
175263,0001365135,2020Q2
260774,0001138118,2020Q2
165993,0001136893,2020Q2
111864,0001058290,2020Q2
029875,0000915912,2020Q2
064891,0001037038,2020Q2
011115,0000203527,2020Q2
065609,0001043277,2020Q2
007063,0001070750,2020Q2
142953,0001103982,2020Q2
157057,0001267238,2020Q2
177376,0001393612,2020Q2
125595,0001086222,2020Q2
027965,0000827054,2020Q2
163610,0001571949,2020Q2
126296,0001324424,2020Q2
007912,0000072207,2020Q2
004494,0000746515,2020Q2
006216,0000052988,2020Q2
105365,0001053507,2020Q2
179621,0001413329,2020Q2
013125,0000765880,2020Q2
136725,0001035267,2020Q2
020548,0000858470,2020Q2
160225,0001141391,2020Q2
061483,0000927066,2020Q2
029804,0000914208,2020Q2
163946,0001324404,2020Q2
