file,avg_tfidf_finneg,avg_tfidf_h4n,doc_length,filing_date,cik,conml,gvkey,permno,excess_return_3d
20200205_10-Q_edgar_data_804328_0001728949-20-000011_1.txt,9.429588455237916e-07,4.920142510026517e-07,697269,2020-02-05,804328,QUALCOMM Inc.,024800,77178.0,-0.0045823845950365705
20200205_10-Q_edgar_data_96021_0000096021-20-000017_1.txt,3.620119703058383e-08,6.782569766747586e-08,2292324,2020-02-05,96021,Sysco Corporation,010247,52038.0,-0.0004940413234275631
20200206_10-K_edgar_data_101829_0000101829-20-000013_1.txt,1.7592943032403405e-07,1.2968494173254986e-07,4102916,2020-02-06,101829,RTX Corp,010983,17830.0,-0.01655484054911005
20200206_10-K_edgar_data_1283699_0001283699-20-000026_1.txt,1.3583778046662224e-07,9.337039597733017e-08,4628152,2020-02-06,1283699,T-Mobile US Inc,017874,91937.0,0.1560396758183611
20200206_10-K_edgar_data_1306830_0001306830-20-000018_1.txt,1.5095956219887245e-07,1.158384297131922e-07,5103416,2020-02-06,1306830,Celanese Corp,162254,90520.0,0.0005372407885593233
20200206_10-K_edgar_data_1571949_0001571949-20-000003_1.txt,1.7957219676956904e-07,1.5197927862719734e-07,3951013,2020-02-06,1571949,Intercontinental Exchange Inc,163610,90993.0,0.0025952143099217118
20200206_10-K_edgar_data_1633917_0001633917-20-000028_1.txt,2.899586620114587e-07,1.805017668734997e-07,2875984,2020-02-06,1633917,PayPal Holdings Inc,024616,15488.0,-0.023352012772971387
20200206_10-K_edgar_data_310764_0000310764-20-000014_1.txt,2.657098204855645e-07,1.920536925952352e-07,2376330,2020-02-06,310764,Stryker Corp,010115,73139.0,-0.02124116841149204
20200206_10-K_edgar_data_66740_0001558370-20-000581_1.txt,2.3481845096174545e-07,1.531402098491125e-07,6012229,2020-02-06,66740,3M Co,007435,22592.0,-0.004607166683626485
20200206_10-K_edgar_data_702165_0000702165-20-000011_1.txt,1.1756590372566424e-07,1.1772886093095741e-07,3247160,2020-02-06,702165,Norfolk Southern Corp,007923,64311.0,-0.022773789750885953
20200206_10-K_edgar_data_811156_0000811156-20-000004_1.txt,1.136684694847898e-07,1.4377202818461654e-07,8221015,2020-02-06,811156,CMS Energy Corp,003439,23229.0,-0.01575632705149632
20200206_10-K_edgar_data_815556_0000815556-20-000011_1.txt,1.0506050918807719e-07,1.1036602978248709e-07,2188841,2020-02-06,815556,Fastenal Co,014225,11618.0,0.004663087525926146
20200206_10-K_edgar_data_875045_0000875045-20-000005_1.txt,1.458721699024053e-07,1.3838343166291838e-07,5396560,2020-02-06,875045,Biogen Inc,024468,76841.0,-0.016998009592072427
20200206_10-Q_edgar_data_1001250_0001104659-20-011857_1.txt,7.1056713399406e-08,4.5483604331939075e-08,2641622,2020-02-06,1001250,Estee Lauder Cos Inc (The),061567,82642.0,0.05324489483770645
20200206_10-Q_edgar_data_100493_0000100493-20-000016_1.txt,4.421945565515977e-07,2.527679368705463e-07,2195579,2020-02-06,100493,Tyson Foods Inc.,010793,77730.0,-0.058247267599023544
20200206_10-Q_edgar_data_1037038_0001037038-20-000007_1.txt,1.5182702078862168e-07,9.938034234199253e-08,2297412,2020-02-06,1037038,Ralph Lauren Corp,064891,85072.0,-0.004030291562227006
20200206_10-Q_edgar_data_10795_0000010795-20-000010_1.txt,2.8154514885665784e-07,1.4185856647224396e-07,923610,2020-02-06,10795,Becton Dickinson and Co,002111,39642.0,-0.13170908126453928
20200206_10-Q_edgar_data_1116132_0001116132-20-000007_1.txt,1.015123441361935e-07,9.423389989607261e-08,1874043,2020-02-06,1116132,Tapestry Inc,140541,88661.0,0.02437917877105078
20200206_10-Q_edgar_data_721371_0000721371-20-000023_1.txt,4.783560806332272e-07,1.8904918627899386e-07,1391436,2020-02-06,721371,Cardinal Health Inc,002751,21371.0,0.12775801599339176
20200206_10-Q_edgar_data_815094_0001564590-20-003682_1.txt,1.5970211717343766e-07,1.6064739729542853e-07,2198970,2020-02-06,815094,ABIOMED Inc,013619,75107.0,-0.13839455284792646
20200207_10-K_edgar_data_100885_0000100885-20-000065_1.txt,1.1448935820543133e-07,8.74885177075457e-08,4431515,2020-02-07,100885,Union Pacific Corp,010867,48725.0,-0.01815072380204308
20200207_10-K_edgar_data_1035267_0001035267-20-000032_1.txt,2.922092988554205e-07,2.0114697615100314e-07,2386663,2020-02-07,1035267,Intuitive Surgical Inc,136725,88352.0,0.022076501204324472
20200207_10-K_edgar_data_1037646_0001037646-20-000005_1.txt,1.3330106727980298e-07,1.208469517728792e-07,2619708,2020-02-07,1037646,Mettler-Toledo International Inc,065772,85621.0,-0.02186338319125858
20200207_10-K_edgar_data_1103982_0001103982-20-000003_1.txt,1.548479674898944e-07,1.2143926239904077e-07,4018505,2020-02-07,1103982,Mondelez International Inc,142953,89006.0,0.00018988452021662106
20200207_10-K_edgar_data_1300514_0001300514-20-000011_1.txt,2.3392032248496093e-07,1.6432245691061806e-07,2653977,2020-02-07,1300514,Las Vegas Sands Corp,161844,90505.0,-0.012554985384943818
20200207_10-K_edgar_data_1413329_0001413329-20-000007_1.txt,3.9618341367118026e-07,2.2871003846530815e-07,3463869,2020-02-07,1413329,Philip Morris International Inc,179621,92602.0,0.02038286743676898
20200207_10-K_edgar_data_1751788_0001751788-20-000007_1.txt,1.753171770231358e-07,1.080526825746202e-07,5774609,2020-02-07,1751788,Dow Inc,034443,18428.0,-0.028544255384978845
