file,avg_tfidf_finneg,avg_tfidf_h4n,doc_length
20200206_10-K_edgar_data_310764_0000310764-20-000014_1.txt,2.657098204855645e-07,1.920536925952352e-07,2376330
20200206_10-K_edgar_data_66740_0001558370-20-000581_1.txt,2.3481845096174542e-07,1.531402098491125e-07,6012229
20200206_10-K_edgar_data_702165_0000702165-20-000011_1.txt,1.1756590372566423e-07,1.1772886093095739e-07,3247160
20200206_10-K_edgar_data_811156_0000811156-20-000004_1.txt,1.1366846948478978e-07,1.4377202818461652e-07,8221015
20200206_10-K_edgar_data_815556_0000815556-20-000011_1.txt,1.0506050918807718e-07,1.1036602978248707e-07,2188841
20200206_10-K_edgar_data_875045_0000875045-20-000005_1.txt,1.458721699024053e-07,1.3838343166291835e-07,5396560
20200206_10-Q_edgar_data_1001250_0001104659-20-011857_1.txt,7.1056713399406e-08,4.548360433193907e-08,2641622
20200206_10-Q_edgar_data_100493_0000100493-20-000016_1.txt,4.421945565515977e-07,2.527679368705463e-07,2195579
20200206_10-Q_edgar_data_1037038_0001037038-20-000007_1.txt,1.5182702078862168e-07,9.938034234199252e-08,2297412
20200206_10-Q_edgar_data_10795_0000010795-20-000010_1.txt,2.8154514885665784e-07,1.4185856647224396e-07,923610
20200206_10-Q_edgar_data_1116132_0001116132-20-000007_1.txt,1.0151234413619347e-07,9.423389989607261e-08,1874043
20200206_10-Q_edgar_data_721371_0000721371-20-000023_1.txt,4.783560806332272e-07,1.8904918627899383e-07,1391436
20200206_10-Q_edgar_data_815094_0001564590-20-003682_1.txt,1.5970211717343763e-07,1.6064739729542853e-07,2198970
20200207_10-K_edgar_data_100885_0000100885-20-000065_1.txt,1.1448935820543131e-07,8.74885177075457e-08,4431515
20200207_10-K_edgar_data_1035267_0001035267-20-000032_1.txt,2.922092988554205e-07,2.0114697615100312e-07,2386663
20200207_10-K_edgar_data_1037646_0001037646-20-000005_1.txt,1.3330106727980295e-07,1.208469517728792e-07,2619708
20200207_10-K_edgar_data_1103982_0001103982-20-000003_1.txt,1.548479674898944e-07,1.2143926239904075e-07,4018505
20200207_10-K_edgar_data_1300514_0001300514-20-000011_1.txt,2.3392032248496095e-07,1.6432245691061806e-07,2653977
20200207_10-K_edgar_data_1413329_0001413329-20-000007_1.txt,3.9618341367118026e-07,2.2871003846530815e-07,3463869
20200207_10-K_edgar_data_1751788_0001751788-20-000007_1.txt,1.753171770231358e-07,1.080526825746202e-07,5774609
20200207_10-K_edgar_data_354190_0001193125-20-028191_1.txt,1.4076732412888452e-07,3.5678155170795385e-07,4410649
20200207_10-K_edgar_data_872589_0001532176-20-000008_1.txt,4.86327760763662e-07,3.7548860280134737e-07,2180267
20200207_10-K_edgar_data_936468_0000936468-20-000016_1.txt,2.241020592436491e-07,1.460922566394731e-07,2830138
20200207_10-Q_edgar_data_1564708_0001193125-20-027351_1.txt,3.376035263965328e-07,7.227576527930631e-07,4011327
20200207_10-Q_edgar_data_1688568_0001688568-20-000008_1.txt,2.2404294835640204e-07,1.309332102410631e-07,2677764
20200207_10-Q_edgar_data_720005_0000720005-20-000013_1.txt,8.424649991801115e-08,7.54011174162046e-08,3728298
20200207_10-Q_edgar_data_779152_0000779152-20-000011_1.txt,5.448512448430797e-08,1.0774361588689058e-07,1022435
20200207_10-Q_edgar_data_849399_0000849399-20-000002_1.txt,2.3589547316444642e-07,1.4543642042831152e-07,1871495
20200207_10-Q_edgar_data_946581_0001628280-20-001155_1.txt,7.890595265422013e-08,9.223684399334675e-08,1253431
20200210_10-K_edgar_data_1031296_0001031296-20-000008_1.txt,1.9399425276922405e-07,2.1505483748552207e-07,4334833
20200210_10-K_edgar_data_34903_0000034903-20-000008_1.txt,1.4822436557261907e-07,1.1541721682123767e-07,2838295
20200210_10-K_edgar_data_40533_0000040533-20-000015_1.txt,8.475275269230206e-08,7.841021226470959e-08,3503716
20200210_10-K_edgar_data_64040_0000064040-20-000055_1.txt,1.635240993964007e-07,1.344602344101419e-07,4456440
20200210_10-K_edgar_data_804753_0000804753-20-000007_1.txt,2.792685156409735e-07,1.6173339962539005e-07,2356120
20200210_10-Q_edgar_data_1757898_0001757898-20-000003_1.txt,1.5694293458529768e-07,9.987891619803432e-08,1482830
20200211_10-K_edgar_data_1045609_0001564590-20-004096_1.txt,5.631760686348028e-08,5.929518937706474e-08,6542309
20200211_10-K_edgar_data_106640_0000106640-20-000017_1.txt,6.479457259393154e-08,5.9503356016325205e-08,8734515
20200211_10-K_edgar_data_1109357_0001109357-20-000053_1.txt,8.857707327081627e-08,8.818041832592314e-08,15663024
20200211_10-K_edgar_data_1110803_0001110803-20-000018_1.txt,1.2923901960334043e-07,1.1908582007408962e-07,2760170
20200211_10-K_edgar_data_1359841_0001359841-20-000027_1.txt,1.7506660084218495e-07,1.271963104805325e-07,4238530
20200211_10-K_edgar_data_1585689_0001585689-20-000013_1.txt,7.867741720876215e-08,7.635970893296741e-08,6492323
20200211_10-K_edgar_data_26172_0000026172-20-000009_1.txt,1.3615567070966597e-07,1.090511504532251e-07,4160296
20200211_10-K_edgar_data_28412_0000028412-20-000034_1.txt,2.067480250571023e-07,9.990959204665807e-08,5571708
20200211_10-K_edgar_data_29989_0000029989-20-000005_1.txt,1.0740987805198765e-07,8.28251494789191e-08,2261092
20200211_10-K_edgar_data_45012_0000045012-20-000031_1.txt,2.6842437215329337e-07,2.468844594668629e-07,1789044
20200211_10-K_edgar_data_62996_0000062996-20-000006_1.txt,1.289525887951207e-07,1.1047942400170531e-07,2872732
20200211_10-Q_edgar_data_106040_0000106040-20-000011_1.txt,1.5672936046631933e-07,1.1206499474101682e-07,2363651
20200211_10-Q_edgar_data_1748790_0001748790-20-000010_1.txt,1.0166696815582559e-07,1.1384321433645266e-07,1766549
20200211_10-Q_edgar_data_203527_0000203527-20-000008_1.txt,1.0518857401458724e-07,1.1378023438169842e-07,1828511
20200212_10-K_edgar_data_1047122_0001047122-20-000009_1.txt,1.3927071584566872e-07,1.165865924599647e-07,4132787
20200212_10-K_edgar_data_1506307_0001506307-20-000022_1.txt,1.973216912323794e-07,1.4525623330376895e-07,5323202
20200212_10-K_edgar_data_24545_0000024545-20-000005_1.txt,1.6194822183668974e-07,1.251600814029651e-07,5374218
20200212_10-K_edgar_data_277948_0000277948-20-000008_1.txt,1.1355448871413165e-07,1.5439317939627723e-07,3454940
20200212_10-K_edgar_data_318154_0000318154-20-000017_1.txt,6.330237630049365e-07,3.9949360457644307e-07,3582463
20200212_10-K_edgar_data_60086_0001193125-20-031657_1.txt,1.5278782043388025e-07,2.683577762850621e-07,9254397
20200212_10-K_edgar_data_72207_0000072207-20-000010_1.txt,2.2302954938806201e-07,2.1345282220087946e-07,3707118
20200212_10-K_edgar_data_766421_0000766421-20-000013_1.txt,1.178519548073303e-07,9.982889960905779e-08,2643489
20200212_10-K_edgar_data_820313_0001558370-20-000728_1.txt,9.917634794223571e-08,8.111147410613657e-08,3083772
20200213_10-K_edgar_data_1020569_0001020569-20-000029_1.txt,2.1974224292104593e-07,1.692116440210693e-07,6322377
20200213_10-K_edgar_data_1021860_0001564590-20-004552_1.txt,8.742583618389418e-08,1.282881106456594e-07,4242975
20200213_10-K_edgar_data_1113169_0001113169-20-000008_1.txt,1.5773871387538422e-07,1.359137160263009e-07,1901069
20200213_10-K_edgar_data_1501585_0001501585-20-000011_1.txt,2.193569175715852e-07,1.584827946937578e-07,2720567
20200213_10-K_edgar_data_1555280_0001555280-20-000054_1.txt,2.6578318167856756e-07,1.9901220695506373e-07,3165704
20200213_10-K_edgar_data_1590955_0001564590-20-004636_1.txt,1.5719130852535776e-07,1.1244085376340172e-07,2070880
20200213_10-K_edgar_data_1601712_0001601712-20-000038_1.txt,2.5995664089746036e-07,1.8750822723700923e-07,3120150
20200213_10-K_edgar_data_1701605_0001701605-20-000019_1.txt,3.71192067665187e-07,2.2824740909370616e-07,2600200
20200213_10-K_edgar_data_27904_0000027904-20-000004_1.txt,1.5879164824510672e-07,1.4067954682450752e-07,2619245
20200213_10-K_edgar_data_4962_0000004962-20-000030_1.txt,2.1853084357332944e-07,1.3062841227578023e-07,4696152
20200213_10-K_edgar_data_55785_0000055785-20-000016_1.txt,1.631556328578698e-07,1.1677321635895552e-07,2254200
20200213_10-K_edgar_data_765880_0001628280-20-001456_1.txt,1.9243220990792485e-07,8.628418956038892e-08,7180401
20200213_10-K_edgar_data_77476_0000077476-20-000015_1.txt,2.4497333408360795e-07,2.038730773085631e-07,4424757
20200213_10-K_edgar_data_823768_0001558370-20-000762_1.txt,3.004331294907064e-07,2.322622488048634e-07,3329839
20200213_10-K_edgar_data_86312_0000086312-20-000011_1.txt,2.471062087109648e-07,1.8705812337001165e-07,8250276
20200213_10-K_edgar_data_875320_0000875320-20-000007_1.txt,1.557386948972042e-07,1.5145612062385984e-07,3240533
20200213_10-K_edgar_data_877212_0000877212-20-000006_1.txt,1.6605148987151433e-07,1.288978235494106e-07,2186644
20200213_10-K_edgar_data_879169_0001558370-20-000774_1.txt,2.750648973157953e-07,2.2580821689125494e-07,2307408
20200213_10-K_edgar_data_908255_0000908255-20-000014_1.txt,1.4873523416731528e-07,1.1346845681489507e-07,3587830
20200213_10-K_edgar_data_91440_0000091440-20-000004_1.txt,1.491699695766042e-07,1.0782427299325232e-07,4610053
20200214_10-K_edgar_data_1014473_0001014473-20-000006_1.txt,2.2816007437813965e-07,1.8592610022032384e-07,1253191
20200214_10-K_edgar_data_1058290_0001058290-20-000008_1.txt,1.393151923133718e-07,1.1820273008020823e-07,2812455
20200214_10-K_edgar_data_1060391_0001060391-20-000016_1.txt,2.3692018884614062e-07,1.7583648907906485e-07,3499120
20200214_10-K_edgar_data_106535_0001564590-20-004822_1.txt,9.729013076165497e-08,7.394731020613539e-08,5567806
20200214_10-K_edgar_data_1099800_0001099800-20-000005_1.txt,1.5080366096744171e-07,1.2450838898149966e-07,3358488
20200214_10-K_edgar_data_1126328_0001104659-20-021174_1.txt,8.025296067000221e-08,6.730034789716544e-08,13323964
20200214_10-K_edgar_data_1137774_0001137774-20-000065_1.txt,1.7310585026872965e-07,1.4604926887792636e-07,11500128
20200214_10-K_edgar_data_1141391_0001141391-20-000032_1.txt,2.1541895675461676e-07,1.4277037225544902e-07,4286140
20200214_10-K_edgar_data_1324424_0001324424-20-000009_1.txt,2.3028201111983646e-07,1.6333772203520192e-07,3103848
20200214_10-K_edgar_data_1596532_0001596532-20-000024_1.txt,2.594371003836114e-07,1.89696415140232e-07,2447636
20200214_10-K_edgar_data_1637459_0001637459-20-000027_1.txt,1.424841293854692e-07,1.2143216638044378e-07,4827406
20200214_10-K_edgar_data_1666700_0001666700-20-000006_1.txt,1.3700143605789652e-07,1.040822570182286e-07,5093131
20200214_10-K_edgar_data_1755672_0001755672-20-000006_1.txt,1.7640528903415323e-07,1.1520188760597293e-07,5555251
20200214_10-K_edgar_data_29905_0000029905-20-000011_1.txt,1.0760780039676608e-07,9.406506149791015e-08,3710768
20200214_10-K_edgar_data_315213_0000315213-20-000029_1.txt,1.9459337821433872e-07,1.3660715840940733e-07,1403915
20200214_10-K_edgar_data_315293_0001628280-20-001607_1.txt,1.0232419453939659e-07,8.144051053185777e-08,6010851
20200214_10-K_edgar_data_49196_0000049196-20-000010_1.txt,1.3306121080533177e-07,1.1460477761954425e-07,6335791
20200214_10-K_edgar_data_49826_0000049826-20-000020_1.txt,1.1726736358393519e-07,1.1565918971338078e-07,2652893
20200214_10-K_edgar_data_68505_0000068505-20-000006_1.txt,1.3945213948083143e-07,9.621697453207102e-08,3368878
20200214_10-K_edgar_data_731766_0000731766-20-000006_1.txt,1.713647754697406e-07,1.2813914540219232e-07,3082727
20200214_10-K_edgar_data_753308_0000753308-20-000021_1.txt,1.1725355813532132e-07,1.269629100738313e-07,7037528
20200214_10-K_edgar_data_766704_0000766704-20-000015_1.txt,1.907959773939737e-07,6.762959243890683e-08,11270740
20200214_10-K_edgar_data_773840_0000773840-20-000009_1.txt,1.6341169786543063e-07,1.3321195913319278e-07,3788844
20200214_10-K_edgar_data_831259_0000831259-20-000004_1.txt,1.5773091344378097e-07,1.411425942864497e-07,9958335
20200214_10-K_edgar_data_874716_0000874716-20-000006_1.txt,1.4929392081620872e-07,1.3389738566615744e-07,2830386
20200214_10-K_edgar_data_877890_0000877890-20-000051_1.txt,2.2873870938999178e-07,1.4649065359893308e-07,2447396
20200214_10-K_edgar_data_922224_0000922224-20-000005_1.txt,1.1342142342274808e-07,1.2782524954830952e-07,10827910
20200218_10-K_edgar_data_1071739_0001071739-20-000060_1.txt,2.5801642796348567e-07,1.9834185419818286e-07,2508887
20200218_10-K_edgar_data_1158449_0001158449-20-000035_1.txt,1.2169026194885927e-07,9.760344824042821e-08,2371239
20200218_10-K_edgar_data_1163165_0001193125-20-039954_1.txt,2.506788326263062e-07,1.9744749579509728e-07,3900298
